;Test true y;Pred
933;1721.53;1721.3191
934;1406.5;1403.8016
935;1423.6;1424.7427
936;1250.4;1252.2477
937;1788.98;1787.8943
938;1324.5;1318.0831
939;1877.86;1872.3193
940;1851.06;1851.2114
941;1680.5;1672.9584
942;1217.24;1216.821
943;1546.0;1548.2314
944;1786.7;1775.1514
945;1838.02;1843.6094
946;1356.0;1361.3334
947;1215.31;1217.1682
948;1737.7;1740.1589
949;1680.42;1680.9153
950;1337.59;1338.6145
951;1432.4;1433.2236
952;1523.66;1524.0537
953;1678.29;1678.5469
954;1432.0;1434.0602
955;1341.16;1342.44
956;1470.9;1470.3816
957;1937.58;1943.0049
958;1501.25;1501.333
959;1345.71;1346.7921
960;1431.8;1432.0612
961;1456.09;1457.6638
962;1580.1;1584.4991
963;1450.5;1451.5013
964;1466.7;1466.8732
965;1456.03;1462.0468
966;1397.28;1400.1821
967;1416.43;1427.4916
968;1598.0;1590.2076
969;1778.4;1771.9614
970;1481.96;1481.252
971;1399.84;1400.5411
972;1228.0;1226.1184
973;1832.0;1835.3564
974;1392.8;1396.1211
975;1503.2;1503.062
976;1542.35;1551.1963
977;1664.6;1664.8696
978;1294.59;1294.1912
979;1368.3;1367.6353
980;1274.0;1274.9058
981;1216.44;1215.8823
982;1423.8;1426.5472
983;1533.5;1526.7422
984;1929.7;1925.2349
985;1899.2;1908.2963
986;1461.25;1458.7473
987;1165.79;1168.0074
988;1649.93;1653.5608
989;1618.7;1617.6154
990;1550.1;1552.8647
991;1514.5;1514.3544
992;1188.9;1189.9939
993;1343.94;1346.4381
994;1478.85;1480.8561
995;1523.63;1526.0743
996;1465.6;1470.0732
997;1721.53;1721.4783
998;1682.09;1681.5579
999;1652.8;1648.4043
1000;1522.91;1520.3923
1001;1393.47;1416.5754
1002;1881.8;1878.9559
1003;1611.94;1612.7552
1004;1233.4;1235.5372
1005;1523.3;1524.8147
1006;1337.0;1339.8522
1007;1463.9;1461.0227
1008;1423.69;1423.4327
1009;1524.7;1528.8375
1010;1317.5;1318.052
1011;1717.1;1715.7123
1012;1148.8;1146.1992
1013;1834.02;1831.7048
1014;1427.15;1427.256
1015;1829.8;1828.6747
1016;1561.37;1592.9275
1017;1744.61;1747.2759
1018;1574.7;1580.0533
1019;1834.4;1831.042
1020;1492.9;1494.0131
1021;1246.18;1245.5245
1022;1716.0;1721.2267
1023;1572.6;1574.9197
1024;1422.72;1416.3591
1025;1432.2;1433.443
1026;1339.05;1339.2828
1027;1536.1;1538.4563
1028;1898.07;1894.9424
1029;1776.1;1777.7113
1030;1506.1;1500.0459
1031;1543.32;1544.8561
1032;1491.0;1488.5171
1033;1663.29;1663.5718
1034;1324.83;1327.593
1035;1570.23;1567.4474
1036;1485.03;1482.7528
1037;1377.74;1381.5801
1038;1806.08;1804.8035
1039;1431.31;1429.8245
1040;1578.64;1585.6871
1041;1470.2;1464.8733
1042;1436.07;1435.6178
1043;1760.8;1760.322
1044;1383.4;1388.7092
1045;1185.6;1188.5011
1046;1562.8;1573.7574
1047;1557.8;1560.0471
1048;1481.0;1483.2666
1049;1611.0;1607.6082
1050;1581.0;1581.3695
1051;1415.9;1414.4197
1052;1816.59;1814.9497
1053;1476.09;1476.7205
1054;1592.89;1591.655
1055;1509.8;1504.0038
1056;1864.87;1863.7932
1057;1510.3;1505.6835
1058;1833.62;1829.4344
1059;1564.25;1560.857
1060;1334.99;1328.9202
1061;1500.12;1498.7607
1062;1709.85;1705.8229
1063;1700.56;1700.9922
1064;1883.25;1884.3751
1065;1327.8;1326.3463
1066;1391.84;1389.9489
1067;1309.31;1305.0981
1068;1538.0;1539.9915
1069;1567.9;1566.9784
1070;1206.68;1201.822
1071;1863.0;1858.6108
1072;1449.05;1456.5015
1073;1815.59;1811.2212
1074;1397.4;1392.7336
1075;1501.5;1500.8408
1076;1473.5;1474.5767
1077;1527.15;1531.9108
1078;1638.7;1638.5806
1079;1316.4;1311.3225
1080;1455.0;1459.1426
1081;1540.61;1538.3776
1082;1544.88;1544.0804
1083;1423.7;1418.8942
1084;1486.21;1481.2623
1085;1279.9;1278.344
1086;1337.09;1340.3492
1087;1681.2;1669.428
1088;1610.77;1609.7317
1089;1538.15;1533.0958
1090;1397.6;1396.6298
1091;1317.81;1319.7832
1092;1620.4;1618.6066
1093;1843.67;1844.5748
1094;1502.5;1495.2234
1095;1342.3;1346.0342
1096;1654.4;1648.0974
1097;1622.25;1623.6901
1098;1342.14;1337.2229
1099;1709.41;1713.3151
1100;1961.7;1962.7153
1101;1698.6;1698.539
1102;1656.8;1657.047
1103;1455.4;1451.4364
1104;1533.8;1533.2614
1105;1306.6;1307.6368
1106;1587.1;1595.5449
1107;1364.0;1365.1798
1108;1627.65;1626.1437
1109;1213.0;1207.1123
1110;1261.42;1259.7551
1111;1504.51;1504.5568
1112;1194.2;1196.6808
1113;1257.7;1250.6378
1114;1780.6;1785.9313
1115;1567.25;1566.3622
1116;1277.64;1277.878
1117;1497.93;1497.4318
1118;1401.19;1393.9524
1119;1177.44;1178.4962
1120;1470.5;1472.1511
1121;1474.4;1477.2809
1122;1217.51;1239.2526
1123;1416.6;1419.876
1124;1552.4;1554.0873
1125;1457.67;1454.7307
1126;1485.7;1487.2799
1127;1410.97;1408.9341
1128;1436.77;1436.9517
1129;1405.33;1405.1753
1130;1811.68;1812.1306
1131;1214.97;1214.0857
1132;1432.85;1429.0294
1133;1350.1;1346.9633
1134;1556.47;1545.4072
1135;1589.56;1590.0704
1136;1302.4;1304.8507
1137;1636.28;1637.3738
1138;1827.28;1826.3079
1139;1793.4;1791.0182
1140;1313.61;1311.8922
1141;1566.9;1564.0522
1142;1481.0;1477.7783
1143;1757.0;1758.6339
1144;1525.96;1527.982
1145;1457.17;1454.0367
1146;1618.2;1611.2427
1147;1508.03;1512.1974
1148;1366.82;1363.9757
1149;1182.96;1179.6036
1150;1417.06;1416.3286
1151;1655.04;1652.457
1152;1279.22;1278.2094
1153;1326.99;1329.493
1154;1253.51;1253.6271
1155;1373.9;1374.9507
1156;1538.7;1537.2162
1157;1454.73;1452.3593
1158;1256.51;1257.8867
1159;1489.75;1488.0807
1160;1554.59;1555.6316
1161;1217.7;1221.7191
1162;1636.58;1629.292
1163;1688.11;1686.8322
1164;1550.93;1547.0518
1165;1406.9;1412.0731
1166;1678.26;1732.7908
1167;1727.9;1722.0636
1168;1248.28;1252.9231
1169;1250.0;1248.3197
1170;1835.2;1841.0688
1171;1478.59;1470.4929
1172;1224.15;1196.8842
1173;1468.83;1470.393
1174;1423.1;1421.0195
1175;1387.2;1388.7931
1176;1268.78;1267.0085
1177;1595.2;1595.819
1178;1481.94;1481.4628
1179;1482.3;1482.3528
1180;1641.74;1643.7981
1181;1485.55;1485.6328
1182;1565.7;1566.6599
1183;1372.73;1368.5658
1184;1788.47;1791.4271
1185;1728.91;1732.2885
1186;1455.52;1454.6598
1187;1753.86;1752.9973
1188;1329.19;1332.3429
1189;1369.04;1372.1178
1190;1637.47;1639.0085
1191;1673.84;1675.109
1192;1372.2;1377.674
1193;1422.8;1421.5598
1194;1822.59;1821.6862
1195;1607.7;1607.3551
1196;1204.8;1205.3856
1197;1553.8;1557.1567
1198;1417.3;1418.2423
1199;1399.96;1402.1714
1200;1413.4;1413.8118
1201;1615.92;1613.0352
1202;1403.49;1398.2559
1203;1492.5;1494.2227
1204;1697.0;1698.0028
1205;1480.8;1478.8204
1206;1194.26;1195.1323
1207;1828.91;1825.2979
1208;1389.58;1393.5707
1209;1511.62;1504.3883
1210;1847.5;1847.0846
1211;1617.95;1616.0176
1212;1575.24;1581.4983
1213;1356.5;1359.75
1214;1537.85;1539.2672
1215;1568.9;1570.0914
1216;1689.6;1691.7155
1217;1404.6;1403.7793
1218;1431.49;1441.284
1219;1883.25;1883.0283
1220;1830.8;1831.3932
1221;1435.7;1432.5135
1222;1330.28;1323.9618
1223;1683.41;1682.5236
1224;1248.2;1250.1134
1225;1294.5;1292.5707
1226;1423.48;1422.0088
1227;1604.64;1602.996
1228;1248.4;1248.6216
1229;1663.6;1659.7798
1230;1385.05;1382.349
1231;1488.6;1497.0116
1232;1777.91;1778.8394
1233;1700.0;1700.4436
1234;1427.56;1427.5258
1235;1882.86;1876.5526
1236;1644.63;1646.6995
1237;1591.1;1590.3192
1238;1438.7;1435.3989
1239;1552.6;1553.6322
1240;1839.21;1839.7458
1241;1374.2;1371.5273
1242;1211.49;1224.1107
1243;1307.7;1316.6364
1244;1528.7;1513.4033
1245;1918.59;1915.8823
1246;1320.9;1318.8281
1247;1429.39;1432.1638
1248;1456.1;1463.0864
1249;1785.9;1783.8092
1250;1450.37;1449.2018
1251;1173.5;1176.5082
1252;1564.87;1566.0247
1253;1810.7;1812.881
1254;1596.68;1597.9504
1255;1300.1;1299.1641
1256;1318.4;1319.3884
1257;1992.3;1995.6926
1258;1540.0;1541.3282
1259;1496.4;1497.3348
1260;1432.47;1425.2859
1261;1882.91;1881.0391
1262;1398.12;1401.4695
1263;1856.98;1859.2814
1264;1901.98;1895.6942
1265;1356.9;1354.8789
1266;1697.51;1698.4432
1267;1321.4;1322.8833
1268;1597.28;1596.3446
1269;1822.59;1821.9058
1270;1291.51;1292.3661
1271;1575.68;1581.9558
1272;1245.61;1245.8529
1273;1289.4;1288.9863
1274;1505.1;1503.7864
1275;1595.93;1596.304
1276;1235.92;1237.334
1277;1523.2;1522.9408
1278;1574.41;1573.1389
1279;1254.5;1252.9791
1280;1383.5;1384.1477
1281;1300.0;1301.3461
1282;1400.1;1409.2473
1283;1679.16;1681.819
1284;1435.77;1433.9796
1285;1310.9;1309.0234
1286;1588.54;1588.9095
1287;1659.69;1658.6329
1288;1279.24;1274.9534
1289;1582.75;1582.3141
1290;1354.7;1348.9999
1291;1623.2;1626.8682
1292;1403.2;1406.097
1293;1793.04;1797.5254
1294;1497.9;1494.1389
1295;1288.92;1292.4635
1296;1897.89;1896.9515
1297;1555.7;1556.0092
1298;1456.5;1457.6947
1299;1793.8;1791.459
1300;1668.63;1670.2471
1301;1517.7;1519.8113
1302;1623.96;1622.4686
1303;1319.5;1320.8818
1304;1258.18;1257.6306
1305;1325.25;1329.1838
1306;1367.38;1366.6262
1307;1341.12;1340.9282
1308;1535.89;1536.7219
1309;1472.99;1475.3022
1310;1529.33;1528.2281
1311;1284.0;1283.1981
1312;1443.57;1443.4119
1313;1393.0;1394.2557
1314;1511.8;1509.2076
1315;1428.6;1429.0172
1316;1236.94;1236.8997
1317;1472.47;1472.2156
1318;1833.5;1832.3451
1319;1288.6;1287.7075
1320;1850.18;1848.4294
1321;1379.7;1380.9452
1322;1509.92;1510.9651
1323;1554.8;1552.8975
