M_C;M_A;SYM;P;T;EXP U
139.29;235.75;0;0.1;313.15;1248
139.29;235.75;0;5;313.15;1261
139.29;235.75;0;10;313.15;1273.6
139.29;235.75;0;20;313.15;1297.7
139.29;235.75;0;30;313.15;1320.8
139.29;235.75;0;40;313.15;1343.4
139.29;235.75;0;50;313.15;1365.5
139.29;235.75;0;60;313.15;1386.9
139.29;235.75;0;70;313.15;1407.6
139.29;235.75;0;80;313.15;1427.5
139.29;235.75;0;90;313.15;1446.7
139.29;235.75;0;95;313.15;1456.1
139.29;235.75;0;0.1;323.15;1227.2
139.29;235.75;0;5;323.15;1240.4
139.29;235.75;0;10;323.15;1253.5
139.29;235.75;0;20;323.15;1278.4
139.29;235.75;0;30;323.15;1301.9
139.29;235.75;0;40;323.15;1324.5
139.29;235.75;0;50;323.15;1346.7
139.29;235.75;0;60;323.15;1368.3
139.29;235.75;0;70;323.15;1389.4
139.29;235.75;0;80;323.15;1409.8
139.29;235.75;0;90;323.15;1429.3
139.29;235.75;0;95;323.15;1438.7
139.29;235.75;0;0.1;333.15;1207.3
139.29;235.75;0;5;333.15;1220.9
139.29;235.75;0;10;333.15;1234.4
139.29;235.75;0;20;333.15;1260
139.29;235.75;0;30;333.15;1284
139.29;235.75;0;40;333.15;1306.9
139.29;235.75;0;50;333.15;1329
139.29;235.75;0;60;333.15;1350.8
139.29;235.75;0;70;333.15;1372
139.29;235.75;0;80;333.15;1392.8
139.29;235.75;0;90;333.15;1412.6
139.29;235.75;0;95;333.15;1422.1
139.29;235.75;0;0.1;343.15;1187.7
139.29;235.75;0;5;343.15;1201.8
139.29;235.75;0;10;343.15;1215.5
139.29;235.75;0;20;343.15;1242
139.29;235.75;0;30;343.15;1266.9
139.29;235.75;0;40;343.15;1290.2
139.29;235.75;0;50;343.15;1312.5
139.29;235.75;0;60;343.15;1334.7
139.29;235.75;0;70;343.15;1356.1
139.29;235.75;0;80;343.15;1377.1
139.29;235.75;0;90;343.15;1397.1
139.29;235.75;0;95;343.15;1406.9
139.29;280.15;0;0.1;283.15;1264.55
139.29;280.15;0;5;283.15;1280.8
139.29;280.15;0;10;283.15;1296.79
139.29;280.15;0;20;283.15;1327.89
139.29;280.15;0;60;283.15;1437.55
139.29;280.15;0;99;283.15;1531.26
139.29;280.15;0;151;283.15;1640.47
139.29;280.15;0;0.1;293.15;1238.06
